time,COUNT,url,num_Objects,isJS_Num_Same,isJS_Object_Same,Difference_Count,Different_Files,Difference
2024-03-31 17:22:10,4,https://www.gov.uk,5,YES,Yes,0,,No differences found.
2024-03-31 17:06:01,1,https://www.healthline.com,44,NO,Yes,0,,No differences found.
2024-03-31 17:12:11,2,https://www.healthline.com,47,NO,NO,7," , events.js?sdkid=CK4U9VJC77U3KEN5IUUG&lib=ttq , js?id=G-0N29CNZT79&l=dataLayer&cx=c&sign=6697e27b98587da3f2e09dd681f099030655ad2221743c513d5f36d54026116f_20240331 , js?id=G-0N29CNZT79&l=dataLayer&cx=c&sign=6697e27b98587da3f2e09dd681f099030655ad2221743c513d5f36d54026116f_20240331 , gtm.js?id=GTM-MB6365D , gtm.js?id=GTM-MB6365D , 6sho9Wyf.js , gpt.js",The difference is very large
2024-03-31 17:18:08,3,https://www.healthline.com,47,YES,NO,7," , events.js?sdkid=CK4U9VJC77U3KEN5IUUG&lib=ttq , js?id=G-0N29CNZT79&l=dataLayer&cx=c&sign=6697e27b98587da3f2e09dd681f099030655ad2221743c513d5f36d54026116f_20240331 , js?id=G-0N29CNZT79&l=dataLayer&cx=c&sign=6697e27b98587da3f2e09dd681f099030655ad2221743c513d5f36d54026116f_20240331 , gtm.js?id=GTM-MB6365D , gtm.js?id=GTM-MB6365D , 6sho9Wyf.js , gpt.js",The difference is very large
2024-03-31 17:24:28,4,https://www.healthline.com,44,NO,NO,7," , 97040225 , events.js?sdkid=CK4U9VJC77U3KEN5IUUG&lib=ttq , js?id=G-0N29CNZT79&l=dataLayer&cx=c&sign=6697e27b98587da3f2e09dd681f099030655ad2221743c513d5f36d54026116f_20240331 , gtm.js?id=GTM-MB6365D , gtm.js?id=GTM-MB6365D , 6sho9Wyf.js , gpt.js",The difference is very large
2024-03-31 17:05:45,1,https://www.lemonde.fr,11,NO,Yes,0,,No differences found.
2024-03-31 17:12:03,2,https://www.lemonde.fr,11,YES,Yes,0,,No differences found.
2024-03-31 17:17:46,3,https://www.lemonde.fr,11,YES,Yes,0,,No differences found.
2024-03-31 17:23:27,4,https://www.lemonde.fr,11,YES,Yes,0,,No differences found.
2024-03-31 17:07:29,1,https://www.livescore.com,13,NO,Yes,0,,No differences found.
2024-03-31 17:13:54,2,https://www.livescore.com,13,YES,Yes,0,,No differences found.
2024-03-31 17:20:13,3,https://www.livescore.com,13,YES,Yes,0,,No differences found.
2024-03-31 17:31:19,1,https://www.netflix.com,3,NO,Yes,0,,No differences found.
2024-03-31 17:36:45,2,https://www.netflix.com,3,YES,Yes,0,,No differences found.
2024-03-31 17:42:02,3,https://www.netflix.com,3,YES,Yes,0,,No differences found.
2024-03-31 17:48:40,4,https://www.netflix.com,3,YES,Yes,0,,No differences found.
2024-03-31 17:33:44,1,https://www.nikkansports.com,40,NO,Yes,0,,No differences found.
2024-03-31 17:40:37,2,https://www.nikkansports.com,41,NO,NO,12," , js?id=G-81Q9QHZX0Q&cx=c&_slc=1 , js?id=G-81Q9QHZX0Q&cx=c&_slc=1 , js?id=G-81Q9QHZX0Q&cx=c&_slc=1 , p1.js , js?id=G-QRJ9QCSM9H&l=dataLayer&cx=c , js?id=G-QRJ9QCSM9H&l=dataLayer&cx=c , js?id=G-QRJ9QCSM9H&l=dataLayer&cx=c , js?id=G-QRJ9QCSM9H&l=dataLayer&cx=c , gtm.js?id=GTM-KC4B6J , gtm.js?id=GTM-KC4B6J , gtm.js?id=GTM-KC4B6J , gpt.js",The difference is very large
2024-03-31 17:48:54,3,https://www.nikkansports.com,40,NO,NO,9," , js?id=G-81Q9QHZX0Q&cx=c&_slc=1 , js?id=G-81Q9QHZX0Q&cx=c&_slc=1 , p1.js , js?id=G-QRJ9QCSM9H&l=dataLayer&cx=c , js?id=G-QRJ9QCSM9H&l=dataLayer&cx=c , js?id=G-QRJ9QCSM9H&l=dataLayer&cx=c , gtm.js?id=GTM-KC4B6J , gtm.js?id=GTM-KC4B6J , gpt.js",The difference is very large
2024-03-31 17:53:26,1,https://www.paypal.com,14,NO,Yes,0,,No differences found.
2024-03-31 17:59:11,2,https://www.paypal.com,14,YES,Yes,0,,No differences found.
2024-03-31 18:04:30,3,https://www.paypal.com,14,YES,Yes,0,,No differences found.
2024-03-31 18:09:46,4,https://www.paypal.com,14,YES,Yes,0,,No differences found.
2024-03-31 18:22:54,1,https://www.primevideo.com,15,NO,Yes,0,,No differences found.
2024-03-31 18:28:17,2,https://www.primevideo.com,15,YES,Yes,0,,No differences found.
2024-03-31 18:33:36,3,https://www.primevideo.com,15,YES,Yes,0,,No differences found.
2024-03-31 18:39:00,4,https://www.primevideo.com,15,YES,Yes,0,,No differences found.
2024-03-31 19:12:14,1,https://www.starhealth.in,136,NO,NO,8,js?id=AW-987779232,The difference is very large
2024-03-31 19:19:34,2,https://www.starhealth.in,136,YES,NO,9," , destination?id=AW-11321202111&l=dataLayer&cx=c , iqrnf2hkm3?ref=gtm , js?id=AW-11321202111&l=dataLayer&cx=c , js?id=G-J59EYF8C12&l=dataLayer&cx=c , js?id=G-J59EYF8C12&l=dataLayer&cx=c , gtm.js?id=GTM-WD5CZK6 , gtm.js?id=GTM-WD5CZK6 , js?id=AW-987779232 , js?id=AW-987779232",The difference is very large
2024-03-31 19:26:45,3,https://www.starhealth.in,136,YES,NO,10," , destination?id=AW-11321202111&l=dataLayer&cx=c , destination?id=AW-11321202111&l=dataLayer&cx=c , iqrnf2hkm3?ref=gtm , js?id=AW-11321202111&l=dataLayer&cx=c , js?id=G-J59EYF8C12&l=dataLayer&cx=c , gtm.js?id=GTM-WD5CZK6 , gtm.js?id=GTM-WD5CZK6 , hotjar-3695714.js?sv=6 , js?id=AW-987779232 , js?id=AW-987779232",The difference is very large
2024-03-31 17:06:17,1,https://www.tjk.org,1,NO,Yes,0,,No differences found.
2024-03-31 17:11:41,2,https://www.tjk.org,1,YES,Yes,0,,No differences found.
2024-03-31 17:16:56,3,https://www.tjk.org,1,YES,Yes,0,,No differences found.
2024-03-31 17:22:09,4,https://www.tjk.org,1,YES,Yes,0,,No differences found.
2024-03-31 17:52:57,1,https://www.turkiye.gov.tr,7,NO,Yes,0,,No differences found.
